,English Name,French Name
0,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs
1,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2,Canada Border Services Agency ,Agence des services frontaliers du Canada
3,Canada Border Services Agency ,Agence des services frontaliers du Canada 
4,Canada Emission Reduction Incentives Agency,Agence canadienne pour l’incitation à la réduction des émissions
5,Canada School of Public Service,École de la fonction publique du Canada
6,Canada Water Agency,Agence canadienne de l’eau
7,Canadian Accessibility Standards Development Organization ,Organisation canadienne d’élaboration de normes d’accessibilité
8,Canadian Dairy Commission,Commission canadienne du lait
9,Canadian Grain Commission,Commission canadienne des grains
10,Canadian Human Rights Commission,Commission canadienne des droits de la personne
11,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
12,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
13,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
14,Canadian Space Agency,Agence spatiale canadienne
15,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d’enquête sur les accidents de transport et de la sécurité des transports
16,Canadian Transportation Agency,Office des transports du Canada
17,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d’examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
18,Communication Canada,Communication Canada
19,Copyright Board,Commission du droit d’auteur
20,Correctional Service of Canada,Service correctionnel du Canada
21,Courts Administration Service,Service administratif des tribunaux judiciaires
22,Director of Soldier Settlement,Directeur de l’établissement de soldats
23,"The Director, The Veterans’ Land Act",Directeur des terres destinées aux anciens combattants
24,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec
25,Energy Supplies Allocation Board,Office de répartition des approvisionnements d’énergie
26,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario
27,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l’Ontario
28,Immigration and Refugee Board,Commission de l’immigration et du statut de réfugié
29,Impact Assessment Agency of Canada,Agence canadienne d’évaluation d’impact
30,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne)
31,Law Commission of Canada,Commission du droit du Canada
32,Library and Archives of Canada,Bibliothèque et Archives du Canada
33,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
34,Military Police Complaints Commission,Commission d’examen des plaintes concernant la police militaire
35,National Farm Products Council,Conseil national des produits agricoles
36,Office of the Chief Electoral Officer,Bureau du directeur général des élections
37,Office of the Commissioner for Federal Judicial Affairs,Bureau du commissaire à la magistrature fédérale
38,Office of the Commissioner of Lobbying,Commissariat au lobbying
39,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
40,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales
41,Office of the Governor General’s Secretary,Secrétariat du gouverneur général
42,Office of the Public Sector Integrity Commissioner,Commissariat à l’intégrité du secteur public
43,Office of the Superintendent of Bankruptcy,Bureau du surintendant des faillites
44,Offices of the Information and Privacy Commissioners of Canada,Commissariats à l’information et à la protection de la vie privée du Canada
45,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada
46,Parole Board of Canada,Commission des libérations conditionnelles du Canada
47,Patented Medicine Prices Review Board,Conseil d’examen du prix des médicaments brevetés
48,The portion of the federal public administration in the Office of the Chief Electoral Officer in which the employees referred to in section 509.3 of the ,Le secteur de l’administration publique fédérale faisant partie du bureau du directeur général des élections dans lequel les employés visés à l’article 509.3 de la 
49,Prairie Farm Rehabilitation Administration,Administration du rétablissement agricole des Prairies
50,Privy Council Office,Bureau du Conseil privé
51,Public Health Agency of Canada,Agence de la santé publique du Canada
52,Public Service Commission,Commission de la fonction publique
53,Royal Canadian Mounted Police,Gendarmerie royale du Canada
54,Royal Canadian Mounted Police External Review Committee,Comité externe d’examen de la Gendarmerie royale du Canada
55,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement
56,Shared Services Canada,Services partagés Canada
57,Staff of the Supreme Court,Personnel de la Cour suprême
58,Statistics Canada,Statistique Canada
59,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
